title,price,img_src,link,author,publisher
호프가 여기에 있었다,"12,420원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/474/16347442.jpg?type=m1&udate=Mon May 11 16:11:04 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16347442, 조앤 바우어,도토리숲
눈 밖에 난 자들,"12,600원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/474/16347423.jpg?type=m1&udate=Mon May 11 16:11:04 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16347423, 성은영,아마존의나비
메리 포핀스(걸 클래식 컬렉션 2),"10,620원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/492/16349254.jpg?type=m1&udate=Mon May 11 16:11:04 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349254, 패멀라 린던 트래버스,윌북
키다리 아저씨(걸 클래식 컬렉션 2),"11,520원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/492/16349255.jpg?type=m1&udate=Mon May 11 16:11:04 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349255, 진 웹스터,윌북
걸 클래식 컬렉션 2 세트,"45,360원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/475/16347598.jpg?type=m1&udate=Mon May 11 16:11:04 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16347598, 진 웹스터,윌북(willbook)
환담·관화담,"10,800원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/492/16349276.jpg?type=m1&udate=Mon May 11 16:11:04 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349276, 고다 로한,연암서가
무지개(상)(양장본 HardCover),"17,100원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/412/16341244.jpg?type=m1&udate=Mon May 11 16:11:04 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16341244, 김한창,바밀리온
비밀의 화원(걸 클래식 컬렉션 2),"13,320원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/493/16349306.jpg?type=m1&udate=Mon May 11 16:11:04 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349306, 프랜시스 호지슨 버넷,윌북
무지개(하)(양장본 HardCover),"17,100원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/412/16341245.jpg?type=m1&udate=Mon May 11 16:11:04 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16341245, 김한창,바밀리온
이상한 나라의 앨리스(걸 클래식 컬렉션 2),"9,900원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/493/16349307.jpg?type=m1&udate=Mon May 11 16:11:04 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349307, 루이스 캐럴,윌북
장녀,"12,600원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/457/16345768.jpg?type=m1&udate=Mon May 11 16:11:04 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16345768, 황의건,예미
당신에게 가고 있어(Stella Odyssey Trilogy 2),"12,600원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/483/16348367.jpg?type=m1&udate=Mon May 11 16:11:04 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348367, 김보영,새파란상상
미래로 가는 아이들(Stella Odyssey Trilogy 3),"12,600원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/483/16348369.jpg?type=m1&udate=Mon May 11 16:11:04 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348369, 김보영,새파란상상
스텔라 오디세이 트릴로지 세트(Stella Odyssey Trilogy)(전3권),"27,000원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/483/16348370.jpg?type=m1&udate=Mon May 11 16:11:04 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348370, 김보영,새파란상상
숙적과의 동침,"12,420원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/488/16348862.jpg?type=m1&udate=Mon May 11 16:11:04 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348862, 고지영,가하
당신을 기다리고 있어(Stella Odyssey Trilogy 1),"12,420원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/483/16348366.jpg?type=m1&udate=Mon May 11 16:11:04 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348366, 김보영,새파란상상
당신을 기다리고 있어(Stella Odyssey Trilogy 1),"12,420원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/483/16348366.jpg?type=m1&udate=Mon May 11 16:11:04 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348366, 김보영,새파란상상
당신을 기다리고 있어(Stella Odyssey Trilogy 1),"12,420원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/483/16348366.jpg?type=m1&udate=Mon May 11 16:11:04 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348366, 김보영,새파란상상
당신을 기다리고 있어(Stella Odyssey Trilogy 1),"12,420원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/483/16348366.jpg?type=m1&udate=Mon May 11 16:11:04 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348366, 김보영,새파란상상
서유기 1,"10,800원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/306/16330642.jpg?type=m1&udate=Mon May 11 16:11:04 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16330642, 오승은,책에반하다
지니어스 게임,"12,600원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/274/16327422.jpg?type=m1&udate=Mon May 11 16:11:04 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16327422, 레오폴도 가우트,"미래인(미래M&B,미래엠앤비)"
어린왕자,"9,000원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/445/16344544.jpg?type=m1&udate=Mon May 11 16:11:04 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16344544, 앙투안 드 생텍쥐페리,책에반하다
서유기 2,"10,800원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/306/16330646.jpg?type=m1&udate=Mon May 11 16:11:04 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16330646, 오승은,책에반하다
명진이의 수학여행(함께교육 5),"13,500원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/449/16344998.jpg?type=m1&udate=Mon May 11 16:11:04 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16344998, 권재원,서유재
키다리 아저씨,"10,800원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/445/16344542.jpg?type=m1&udate=Mon May 11 16:11:04 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16344542, 진 웹스터,책에반하다
비수(계간문예작가선 104),"13,500원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/475/16347512.jpg?type=m1&udate=Mon May 11 16:11:04 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16347512, 조경진,계간문예
피터팬,"14,850원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/446/16344620.jpg?type=m1&udate=Mon May 11 16:11:04 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16344620, 제임스 매튜 배리,책에반하다
이스탄불 이스탄불,"13,050원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/491/16349190.jpg?type=m1&udate=Mon May 11 16:11:04 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349190, 부르한 쇤메즈,황소자리
내가 축구를 못하는 건 환경 탓이야 7,"7,200원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/496/16349618.jpg?type=m1&udate=Mon May 11 16:11:04 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349618, 김태왕,어울림출판사
못생겨도 천하제일 6,"7,200원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/496/16349623.jpg?type=m1&udate=Mon May 11 16:11:04 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349623, 장은성,어울림출판사
삼국지 1,"10,800원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/303/16330394.jpg?type=m1&udate=Mon May 11 16:11:04 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16330394, 나관중,책에반하다
삼국지 2,"10,800원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/303/16330395.jpg?type=m1&udate=Mon May 11 16:11:04 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16330395, 나관중,책에반하다
